appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
689600,Little Earth,2017-08-22,1,RedRabbit Animation,Red Rabbit Company Limited,windows,0,Single-player,Casual;Indie;Simulation;Early Access,Early Access;Indie;Simulation,0,1,0,0,0,0-20000,3.99
979080,Rebel Forces,2018-12-20,1,FreezeNova,FreezeNova,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Stats;Steam Leaderboards,Action;Free to Play;Indie,Free to Play;Action;Indie,7,530,150,0,0,100000-200000,0.0
776440,PROJECT VELOCITY,2018-02-22,1,Omnirift,Omnirift,windows;mac;linux,0,Single-player;Steam Leaderboards,Action;Indie,Action;Indie,0,2,1,0,0,0-20000,1.69
394260,Dance Magic,2016-02-15,1,Targem Games,Targem Games ,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Casual;Action;Indie,17,31,12,0,0,0-20000,6.99
1010540,Ancient Anathema,2019-01-28,1,Yars,Yars,windows,0,Single-player;Steam Achievements,Adventure;Indie,Adventure;Indie;Atmospheric,5,8,5,0,0,0-20000,3.99
683080,A Mazeing Tower Defense,2017-08-29,1,A Mazeing Tower Defense,A Mazeing Tower Defense,windows,0,Single-player,Action;Casual;Strategy,Strategy;Action;Casual,0,4,10,0,0,0-20000,1.59
552410,Project Abyss,2016-11-18,1,Tall Story Studios;Prey Interactive,Prey Interactive,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats,Action;Adventure;Indie;RPG;Simulation,Action;Adventure;Indie,29,34,25,0,0,0-20000,3.99
313340,Mountain,2014-08-18,1,David OReilly,Double Fine Presents;David OReilly,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;VR Support;Partial Controller Support;Steam Cloud,Casual;Indie;RPG;Simulation,Simulation;Indie;Casual,31,10936,1516,614,584,200000-500000,0.79
906660,Seacurity Breach,2018-12-17,1,Soaphog,Soaphog,windows,0,Single-player;Steam Workshop;Steam Cloud;Includes level editor,Adventure;Indie;Strategy;Early Access,Early Access;Strategy;Indie,0,6,1,0,0,0-20000,6.99
462580,New Yankee in Santa's Service,2016-05-12,1,Rionix,Buka Entertainment,windows,0,Single-player;Steam Trading Cards,Casual;Simulation;Strategy,Strategy;Casual;Simulation,0,4,4,0,0,0-20000,3.99
777220,审判者 The Inquisitor,2018-01-18,0,invwindy,迷糊的安安,windows,0,Single-player,Indie;RPG;Strategy,Indie;Strategy;RPG,8,37,2,0,0,0-20000,0.79
602170,Planet of Mubu,2017-04-01,1,Anatoliy Loginovskikh,Zotdinex,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Indie,Action;Adventure;Indie,39,42,16,265,272,0-20000,4.7
587570,Elsewhere High: Chapter 1 - A Visual Novel,2017-03-31,1,Horizon Studio,Horizon Studio,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available,Adventure;Free to Play,Free to Play;Adventure;Visual Novel,11,37,17,0,0,20000-50000,0.0
665080,Stunt Corgi VR,2018-01-15,1,"Studio Roqovan, Inc.","Studio Roqovan, Inc.",windows,0,Single-player,Simulation,Simulation;Sandbox;Indie,0,9,4,0,0,0-20000,11.39
640880,Hyper Sentinel,2018-05-10,1,Four5Six Pixel;Huey Games,Huey Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,Action;Indie,Action;Indie;Shoot 'Em Up,34,31,3,0,0,0-20000,11.99
355650,Pirates vs Corsairs: Davy Jones's Gold,2015-03-16,1,Little World Studio,Games For All,windows;mac,0,Single-player;Multi-player,Strategy,Strategy;Pirates,0,13,9,0,0,0-20000,3.99
811910,MRS SNAKE,2018-03-19,1,Create Our Freedom,Create Our Freedom,windows,0,Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Full controller support,Action;Casual;Indie,Action;Indie;Casual,0,15,2,0,0,0-20000,1.69
453950,To Ash,2016-03-29,1,16 Bit Psych;Kyle B,Self-Publish,windows;mac,0,Single-player;Full controller support;Steam Trading Cards,Indie;RPG,RPG;Indie;RPGMaker,0,17,2,0,0,20000-50000,1.59
925690,Witch The Bloodlines,2018-09-03,1,Kerim Kumbasar,Kerim Kumbasar,windows,0,Single-player;Steam Achievements;Steam Cloud,Action;Adventure;Indie,Action;Adventure;Indie,25,13,17,0,0,0-20000,11.39
618510,Battle Bruise,2017-05-03,1,Zanardi and Liza,Zanardi and Liza,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Indie;Action;Zombies,14,266,20,178,272,20000-50000,0.79
1019710,Repel Aliens 3D,2019-02-13,1,Tonye Amienyo,Tonye Amienyo,windows,0,Single-player,Indie,Indie,0,0,1,0,0,0-20000,3.99
1040490,Prologue for a Vacant Kingdom,2019-04-18,1,shru,shru,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Free to Play;Indie;RPG,Action;Free to Play;Indie,4,38,0,0,0,0-20000,0.0
378510,"Witches, Heroes and Magic",2015-06-29,1,Michael Swan,AweSwan,windows;mac,0,Single-player,Action;Adventure;Casual;Indie;RPG;Strategy,RPG;Strategy;Adventure,0,5,11,0,0,0-20000,10.99
378790,Kagura Douchuuki,2015-10-22,1,DebonosuWorks Inc.,DebonosuWorks Inc.,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,RPG,RPG;Anime;Rogue-like,0,13,1,0,0,0-20000,10.59
1016250,100$,2019-02-01,1,КиКо,КиКо,windows,0,Single-player;Steam Achievements,Indie,Indie,100,26,3,0,0,0-20000,0.79
365340,The Way of the Pixelated Fist,2015-04-27,1,Blaze Epic,Blaze Epic,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Adventure;Indie,Action;Adventure;Indie,10,17,16,0,0,0-20000,0.79
257670,Elder Sign: Omens,2013-11-27,1,"Fantasy Flight Publishing, Inc.","Fantasy Flight Publishing, Inc.",windows;mac;linux,0,Single-player;Steam Trading Cards,Casual;Indie;Strategy,Board Game;Lovecraftian;Strategy,0,190,54,0,0,0-20000,4.79
672860,StellarHub,2017-08-16,1,Casualogic,Casualogic,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Simulation,Simulation;Space;Base-Building,13,63,46,0,0,20000-50000,5.99
503830,The Life Of Greather,2016-08-25,1,GreatherGames,GreatherGames,windows,0,Single-player;Steam Trading Cards,Adventure;Indie;RPG,Adventure;RPG;Indie,0,14,23,0,0,20000-50000,1.59
606480,Flood of Light,2017-06-15,1,Irisloft,Irisloft,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Adventure;Casual;Indie;RPG,Casual;Indie;Adventure,50,157,6,0,0,0-20000,2.79
670410,Citadale: The Legends Trilogy,2017-09-13,1,Ezekiel Rage,Plug In Digital,windows;mac;linux,0,Single-player;Full controller support,Action;Indie,Indie;Action;Metroidvania,0,3,3,0,0,0-20000,6.99
432940,Breakneck,2017-12-07,1,PikPok,PikPok,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Racing,Racing;Action,37,67,10,0,0,0-20000,7.19
711010,Corrupt - Political Simulator,2017-09-15,1,Atomic Fabrik;Cristian Manolachi,Atomic Fabrik;Cristian Manolachi,windows,0,Single-player;Partial Controller Support,Adventure;Casual;Indie;Simulation;Sports;Strategy,Casual;Adventure;Indie,0,15,5,0,0,0-20000,0.79
812450,The m0rg VS keys,2018-03-29,1,Zloy Krot Studio,Zloy Krot Studio,windows,0,Single-player;Steam Achievements,Casual;Indie,Indie;Casual,20,22,13,0,0,0-20000,0.79
938890,HotPuzzle:Grils,2018-12-19,1,Puzzle Game,Puzzle Game,windows,0,Single-player;Steam Cloud,Adventure;Casual;Indie;Simulation,Sexual Content;Nudity;Casual,0,14,8,0,0,0-20000,0.79
672570,The Western Hunter,2017-07-08,1,Wisdom Emprie,Wisdom Emprie,windows,0,Single-player,Casual;Simulation,Casual;Simulation;Western,0,1,0,0,0,0-20000,4.99
499910,SHINRAI - Broken Beyond Despair,2016-08-26,1,Gosatsu Visual Novels,Gosatsu Visual Novels,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Indie;Adventure;Visual Novel,15,54,1,0,0,0-20000,10.99
989040,After Hours,2018-12-20,1,Petter Malmehed;Jösses,Petter Malmehed,windows,0,Single-player,Adventure;Indie;Simulation,Simulation;Adventure;Indie,10,4,1,0,0,0-20000,2.09
726800,The Rare Nine,2017-10-31,1,Agafonoff,Agafonoff,windows,0,Single-player;Steam Achievements;Full controller support,Action;Indie;Early Access,Early Access;Action;Indie,42,39,29,0,0,0-20000,1.69
396320,Tank Battle: 1944,2016-03-01,1,HexWar Games,HexWar Games,windows;mac,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Strategy,Strategy;Hex Grid;Turn-Based Strategy,18,25,12,0,0,0-20000,6.99
602490,Blood Bowl: Death Zone,2018-07-17,1,Cyanide Studio,Bigben Interactive,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements,Sports;Strategy;Early Access,Early Access;Sports;Strategy,7,12,14,0,0,0-20000,7.99
37220,Cooking Dash®,2009-08-12,1,Aliasworlds Entertainment,PlayFirst,windows;mac,0,Single-player,Simulation,Simulation;Time Management;Casual,0,27,9,0,0,0-20000,7.49
989010,The Scenic Treasures - Japanese Learning,2018-12-31,1,Bizengames,Bizengames,windows;mac,0,Single-player,Adventure;Casual;Simulation,Adventure;Casual;Simulation,0,0,1,0,0,0-20000,19.49
366000,Rogue System,2016-05-16,1,"Digits Crossed Interactive, LLC",Image Space Incorporated,windows,0,Single-player;Steam Achievements,Simulation;Early Access,Early Access;Simulation;Space Sim,6,154,32,0,0,0-20000,13.49
528170,Drop The Bomb,2018-04-13,1,Seems Good Copmany,Seems Good Copmany,windows,0,Multi-player;Online Multi-Player;MMO;Steam Achievements;Steam Trading Cards,Casual;Indie;Massively Multiplayer;Strategy,Strategy;Massively Multiplayer;Indie,16,20,12,257,257,20000-50000,3.19
397690,Hyperspace Invaders II: Pixel Edition,2015-09-04,1,Entity Medialab,Black Shell Media,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;Indie,Action;Indie;Bullet Hell,18,295,67,56,56,50000-100000,3.99
829210,AIdol,2018-04-23,1,ebi-hime,ebi-hime,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Simulation,Casual;Simulation;Indie,7,12,3,0,0,0-20000,8.29
959940,Inside,2018-10-25,1,Garnudo Games,Garnudo Games,windows,0,Single-player,Adventure;Indie;RPG,Indie;Adventure;RPG,0,0,1,0,0,0-20000,1.69
322190,SteamWorld Heist,2016-06-07,1,Image & Form Games,Image & Form Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie;RPG;Strategy,Turn-Based;Strategy;Steampunk,47,2660,121,388,469,200000-500000,10.99
